time,Number_molcules_in_droplet
0,1058
0,1058
0.000063,1058
0.001063,1058
0.002063,1058
0.003063,1058
0.004063,1058
0.005063,1058
0.006063,1058
0.007063,1058
0.008063,1058
0.009063,1058
0.010063,1058
0.011063,1058
0.012063,1058
0.013063,1058
0.014063,1058
0.015063,1058
0.016063,1058
0.017063,1058
0.018063,1058
0.019063,1058
0.020063,1058
0.021063,1058
0.022063,1058
0.023063,1058
0.024063,1058
0.025063,1058
0.026063,1058
0.027063,1058
0.028063,1058
0.029063,1058
0.030063,1058
0.031063,1058
0.032063,1058
0.033063,1058
0.034063,1057
0.035063,1057
0.036063,1057
0.037063,1057
0.038063,1057
0.039063,1057
0.040063,1057
0.041063,1057
0.042063,1057
0.043063,1057
0.044063,1057
0.045063,1057
0.046063,1057
0.047063,1057
0.048063,1057
0.049063,1057
0.050063,1057
0.051063,1057
0.052063,1057
0.053063,1057
0.054063,1057
0.055063,1057
0.056063,1057
0.057063,1057
0.058063,1057
0.059063,1057
0.060063,1057
0.061063,1057
0.062063,1057
0.063063,1057
0.064063,1057
0.065063,1057
0.066063,1057
0.067063,1057
0.068063,1057
0.069063,1057
0.070063,1057
0.071063,1057
0.072063,1057
0.073063,1057
0.074063,1057
0.075063,1057
0.076063,1057
0.077063,1057
0.078063,1057
0.079063,1057
0.080063,1057
0.081063,1057
0.082063,1057
0.083063,1057
0.084063,1057
0.085063,1057
0.086063,1057
0.087063,1057
0.088063,1057
0.089063,1057
0.090063,1057
0.091063,1057
0.092063,1057
0.093063,1057
0.094063,1057
0.095063,1057
0.096063,1057
0.097063,1057
0.098063,1057
0.099063,1057
0.100063,1057
0.101063,1057
0.102063,1057
0.103063,1057
0.104063,1057
0.105063,1057
0.106063,1057
0.107063,1057
0.108063,1057
0.109063,1057
0.110063,1057
0.111063,1057
0.112063,1057
0.113063,1057
0.114063,1057
0.115063,1057
0.116063,1057
0.117063,1057
0.118063,1057
0.119063,1057
0.120063,1057
0.121063,1057
0.122063,1057
0.123063,1057
0.124063,1057
0.125063,1057
0.126063,1057
0.127063,1057
0.128063,1057
0.129063,1057
0.130063,1057
0.131063,1057
0.132063,1057
0.133063,1057
0.134063,1057
0.135063,1057
0.136063,1057
0.137063,1057
0.138063,1057
0.139063,1057
0.140063,1057
0.141063,1057
